id,name,code,provider_id/id,city_id/id,,
hotel_provider_code_quantum_167,Albury; AU,AU~67,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_213,tt_city_code.rdx_city_AUS_213,tt_city_code.rdx_city_AUS_213
hotel_provider_code_quantum_168,Narooma; AU,AU~68,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_169,Kiama; AU,AU~69,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_144,tt_city_code.rdx_city_AUS_144,tt_city_code.rdx_city_AUS_144
hotel_provider_code_quantum_170,Lismore; AU,AU~70,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_216,tt_city_code.rdx_city_AUS_216,tt_city_code.rdx_city_AUS_216
hotel_provider_code_quantum_171,Bathurst; AU,AU~71,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_35,tt_city_code.rdx_city_AUS_35,tt_city_code.rdx_city_AUS_35
hotel_provider_code_quantum_172,Diamond Beach; AU,AU~72,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_173,Byron Bay; AU,AU~73,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_217,tt_city_code.rdx_city_AUS_217,tt_city_code.rdx_city_AUS_217
hotel_provider_code_quantum_174,Tamworth; AU,AU~74,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_124,tt_city_code.rdx_city_AUS_124,tt_city_code.rdx_city_AUS_124
hotel_provider_code_quantum_175,Wagga Wagga; AU,AU~75,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_214,tt_city_code.rdx_city_AUS_214,tt_city_code.rdx_city_AUS_214
hotel_provider_code_quantum_176,Mudgee; AU,AU~76,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_55,tt_city_code.rdx_city_AUS_55,tt_city_code.rdx_city_AUS_55
hotel_provider_code_quantum_177,Mt Gambier; AU,AU~77,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_178,Port Augusta; AU,AU~78,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_155,tt_city_code.rdx_city_AUS_155,tt_city_code.rdx_city_AUS_155
hotel_provider_code_quantum_179,Coober Pedy; AU,AU~79,tt_reservation_hotel.tt_hotel_provider_quantum,,,
